0	1	Fakhrul Fandy Widyaningtias	fakhrulfandywidyaningtias@outlook.com	6285244454	27	Juni	2012-02-18 00:00:00	1	0	1
1	2	Ferdiansyah Amalina	ferdiansyahamalina@yahoo.com	6285244688	31	Agustus	2012-06-29 00:00:00	1	0	1
2	3	Ficky Rizkyananta	fickyrizkyananta@hotmail.com	6285244922	15	Februari	2013-06-04 00:00:00	1	0	1
3	4	Singgih Kharisma	singgihkharisma@hotmail.com	6285245156	49	Januari	2013-01-13 00:00:00	1	0	1
4	5	Jeremiah Dinanti	jeremiahdinanti@roketmail.com	6285245390	25	Januari	2012-02-15 00:00:00	1	0	1
5	6	Ridhwan Noerani	ridhwannoerani@hotmail.com	6285245624	43	Januari	2013-05-02 00:00:00	1	0	1
6	7	Okky Oktaviaman	okkyoktaviaman@roketmail.com	6281906358	35	Maret	2012-04-29 00:00:00	1	0	1
7	8	Dikposa Yosua Krisnanto	dikposayosuakrisnanto@hotmail.com	6281907247	28	April	2013-12-02 00:00:00	1	0	1
8	9	Dhanu Rahman	dhanurahman@gmail.com	6281908136	26	Mei	2013-07-16 00:00:00	1	0	1
9	10	Bob Arisa	bobarisa@yahoo.com	6281909025	40	Desember	2012-11-11 00:00:00	1	0	1
10	11	Omar Afini	omarafini@gmail.com	6281909914	48	November	2013-01-10 00:00:00	1	0	1
11	12	Sutrisno Rizal	sutrisnorizal@outlook.com	6281910803	36	Januari	2012-09-20 00:00:00	1	0	1
12	13	Hilman Azalia	hilmanazalia@hotmail.com	6281911692	17	Maret	2013-11-15 00:00:00	1	0	1
13	14	Lintang Bertauli	lintangbertauli@gmail.com	6281912581	33	April	2013-05-14 00:00:00	1	0	1
14	15	Reynard Ramadhansyah	reynardramadhansyah@gmail.com	6289623545	34	Mei	2012-04-24 00:00:00	1	0	1
15	16	Kevin Ningsih	kevinningsih@roketmail.com	6289624758	49	Oktober	2013-10-23 00:00:00	1	0	1
16	17	Rifqy Butar-butar	rifqybutar-butar@yahoo.com	6289625971	30	September	2012-01-14 00:00:00	1	1	1
17	18	Wahyu Hayati	wahyuhayati@gmail.com	6289627184	23	Desember	2012-09-15 00:00:00	1	1	1
18	19	Andi Mayasopha	andimayasopha@yahoo.com	6289628397	36	Juni	2012-10-16 00:00:00	1	0	1
19	20	Yutama Riahdita	yutamariahdita@gmail.com	6289629610	48	Agustus	2012-03-08 00:00:00	1	0	1
20	21	Haikal Nurahmadhita	haikalnurahmadhita@roketmail.com	6289630823	37	Februari	2013-11-05 00:00:00	1	0	1
21	22	Thomas Geryance	thomasgeryance@roketmail.com	6289632036	40	Januari	2012-09-23 00:00:00	1	0	1
22	23	Muhamad Pramanda	muhamadpramanda@outlook.com	6289633249	16	Januari	2012-05-16 00:00:00	1	0	1
23	24	Ramanta Pasha	ramantapasha@gmail.com	6287832435	49	Januari	2013-03-29 00:00:00	0	0	1
24	25	Sakti Hasaniy	saktihasaniy@outlook.com	6287832669	31	Maret	2013-08-28 00:00:00	1	0	1
25	26	Rian Mufti	rianmufti@outlook.com	6287832903	24	April	2013-06-04 00:00:00	1	0	1
26	27	Doni Teddo Prasetyani	doniteddoprasetyani@yahoo.com	6287833137	30	Mei	2013-04-10 00:00:00	1	0	1
27	28	Fahmi Haq	fahmihaq@gmail.com	6287833371	17	Desember	2012-09-21 00:00:00	1	0	1
28	29	Rheza Novianti	rhezanovianti@yahoo.com	6287833605	26	November	2013-06-13 00:00:00	1	0	1
29	30	Herdaru Junaidi	herdarujunaidi@outlook.com	6287833839	50	Januari	2013-07-29 00:00:00	1	0	1
30	31	Eka Tiodimar	ekatiodimar@roketmail.com	6287834073	40	Maret	2012-07-08 00:00:00	1	0	1
31	32	Sebastian Mitsuko	sebastianmitsuko@roketmail.com	6287834307	44	April	2012-11-09 00:00:00	0	0	1
32	33	Rinaldy Octaza	rinaldyoctaza@outlook.com	6287834541	35	Mei	2013-06-03 00:00:00	0	0	1
33	34	Ismail Wardhani	ismailwardhani@hotmail.com	6287834775	18	Oktober	2012-05-02 00:00:00	1	0	1
